deed_id,manual_address,city,deed_date,is_restrictive_covenant,ground_truth_latitude,ground_truth_longitude
159,"23 HILLCREST RD, DRACUT, MA 01826",Dracut,9/27/38,True,42.68678,-71.3615232
156,"3 SHORE DR, DRACUT, MA 01826",Dracut,9/27/38,True,42.6874406,-71.3689573
187,"121 Hilltop Road, Dracut, MA",Dracut,9/3/37,True,42.6887392,-71.3654203
125,"140 HILLTOP RD, DRACUT, MA 01826",Dracut,12/24/38,True,42.6886114,-71.3662489
72,"55 LONG DR, DRACUT, MA 01826",Dracut,3/13/42,True,42.6851604,-71.3648739
118,"176 HILLCREST RD, DRACUT, MA 01826",Dracut,6/8/37,True,42.6884582,-71.3681885
96,"76 HILLTOP RD, DRACUT, MA 01826",Dracut,5/21/40,True,42.6878521,-71.363648
153,"29 BROAD RD, DRACUT, MA 01826",Dracut,9/27/38,True,42.6858869,-71.3604979
115,"48 HILLCREST RD, DRACUT, MA 01826",Dracut,12/18/39,True,42.6867776,-71.3627001
110,"49 HILLTOP RD, DRACUT, MA 01826",Dracut,4/11/41,True,42.6877414,-71.3623158
135,"166 HILLCREST RD, DRACUT, MA 01826",Dracut,2/20/40,True,42.6883634,-71.3678132
148,"141 LONG POND DR, DRACUT, MA 01826",Dracut,4/18/40,True,42.6855844,-71.3624017
151,"132 HILLCREST RD, DRACUT , MA 01826",Dracut,4/21/38,True,42.6879308,-71.3661989
144,"114 HILLCREST RD, DRACUT, MA 01826",Dracut,4/18/40,True,42.687685,-71.3656856
105,"102 HILLCREST RD, DRACUT, MA 01826",Dracut,6/1/40,True,42.6875822,-71.3650721
143,"21 HILLSIDE TR, DRACUT, MA 01826",Dracut,4/10/40,True,42.685609,-71.3657913
106,"112 VALLEY RD, DRACUT, MA 01826",Dracut,6/1/40,True,42.6870068,-71.3658036
192,"2 OVERLOOK TR, DRACUT, MA 01826",Dracut,6/2/38,True,42.6865177,-71.3649438
196,"20 MILLS DR, DRACUT, MA 01826",Dracut,10/21/39,True,42.6876077,-71.368186
177,"103 LONG POND DR, DRACUT, MA 018267",Dracut,3/6/41,True,42.6850178,-71.3609049
71,"56 MILLS DR, DRACUT, MA 01826",Dracut,8/5/37,True,42.6888598,-71.3688925
161,"171 HILLTOP RD, DRACUT, MA 01826",Dracut,10/30/38,True,42.689313,-71.3672977
157,"173 HILLCREST RD, DRACUT, MA 01826",Dracut,9/27/38,True,42.6888239,-71.3678573
92,"119 HILLTOP RD, DRACUT, MA 01826",Varnum Town,9/9/38,True,42.6884824,-71.3650752
85,"76 HILLTOP RD, DRACUT, MA 01826",Dracut,5/21/40,True,42.6878521,-71.363648
152,"271 LONG POND DR, DRACUT, MA 01826",Dracut,9/27/38,True,42.6873406,-71.3680594
131,"95 VALLEY RD, DRACUT, MA 01826",Dracut,2/3/40,True,42.6870715,-71.3649349
141,"92 HILLTOP RD, DRACUT, MA 01826",Dracut,4/10/40,True,42.6879845,-71.3644164
163,"62 MILLS DR, DRACUT, MA 01826",Dracut,8/31/38,True,42.6891025,-71.3688766
104,"28 VALLEY RD, DRACUT, MA 01826",Varnum Town,6/1/40,True,42.6858836,-71.3620457
111,"2 LONG DR, DRACUT, MA 01826",Dracut,4/11/41,True,42.686089,-71.3677605
146,"59 VALLEY RD, DRACUT, MA 01826",Dracut,4/18/40,True,42.686706,-71.363514
139,"32 OVERLOOK TR, DRACUT, MA 01826",Dracut,10/24/39,True,42.6872785,-71.3644643
80,"25 BROAD RD, DRACUT, MA 01826",Dracut,10/15/38,True,42.6856327,-71.3607606
155,"44 HILLTOP RD, DRACUT, MA 01826",Dracut,9/27/58,True,42.68737,-71.3623254
89,"53 HILLCREST RD, DRACUT, MA 01826",Dracut,5/5/41,True,42.687221,-71.3628745
190,"119 VALLEY RD, DRACUT, MA 01826",Dracut,6/2/38,True,42.6874463,-71.3659503
166,"65 HILLSIDE TR, DRACUT, MA 01826",Dracut,4/27/40,True,42.6865676,-71.3672033
74,"106 VALLEY RD, DRACUT, MA 01826",Dracut,2/9/40,True,42.6869763,-71.3656142
119,"129 LONG DR, DRACUT, MA 01826",Dracut,5/23/41,True,42.6858394,-71.3676161
122,"114 LONG DR, DRACUT, MA 01826",Dracut,9/29/39,True,42.684928,-71.361587
140,"21 HILLSIDE TR, DRACUT, MA 01826",Dracut,4/10/40,True,42.685609,-71.3657913
99,"18 LONG DR, DRACUT, MA 01826",Varnum Town,5/25/40,True,42.6848877,-71.3634778
142,"15 HILLTOP RD, DRACUT, MA 01826",Dracut,4/10/40,True,42.6871747,-71.3608967
168,"70 LONG DR, DRACUT, MA 01826",Dracut,5/8/40,True,42.6848653,-71.3655068
90,"10 LONG DR, DRACUT, MA 01826",Varnum Town,5/5/41,True,42.6852282,-71.3633952
